Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0.033,1245.5009765625,-178.166015625,2189.94409179688,1274.05444335938,-161.330963134766,2107.16284179688,1219.75305175781,-193.346923828125,2264.59155273438,1210.80749511719,218.920440673828,2175.61059570313,1221.55529785156,186.099945068359,2359.26733398438,1329.32727050781,518.4736328125,2365.91381835938,1401.90393066406,495.529663085938,2480.4404296875,1234.98864746094,675.523498535156,2365.22875976563,1326.73474121094,645.784301757813,2494.06567382813,1205.31604003906,-692.089965820313,2086.57666015625,1230.24450683594,-484.310852050781,2122.42138671875,1233.73254394531,-347.910400390625,2151.36401367188,1184.04760742188,-766.948425292969,2068.53442382813,1222.95458984375,-654.519897460938,2062.59692382813,1197.837890625,-661.338195800781,2123.04467773438,1270.60302734375,-597.031921386719,1944.40795898438,1147.96911621094,-624.386901855469,2235.68676757813,1291.41125488281,-328.260589599609,1925.36511230469,1189.75427246094,-390.362915039063,2374.64721679688,1135.69970703125,-163.350158691406,1927.85168457031,1152.9130859375,-164.795150756836,2397.45947265625
0.066,1244.17724609375,-180.308578491211,2189.03198242188,1272.76391601563,-163.428085327148,2106.12817382813,1218.39929199219,-195.530471801758,2263.7900390625,1209.91796875,217.421600341797,2174.96459960938,1216.93310546875,184.0986328125,2360.140625,1329.08386230469,517.208129882813,2365.59594726563,1391.41088867188,497.270568847656,2482.05590820313,1234.13488769531,674.209838867188,2364.98706054688,1312.74731445313,645.992309570313,2495.88891601563,1202.51110839844,-694.760192871094,2084.88330078125,1228.22106933594,-486.820098876953,2121.11938476563,1232.18200683594,-350.267913818359,2150.28955078125,1180.93493652344,-769.626525878906,2066.7109375,1220.26452636719,-657.149353027344,2060.90869140625,1195.17907714844,-664.004028320313,2121.47241210938,1267.65979003906,-599.457214355469,1942.47058105469,1144.90771484375,-627.003051757813,2234.13842773438,1288.2001953125,-330.232543945313,1923.81359863281,1184.87280273438,-391.823059082031,2372.49633789063,1132.25048828125,-165.093231201172,1927.00915527344,1144.97302246094,-166.110153198242,2391.935546875
0.429,756.551940917969,-177.301284790039,2202.833984375,726.363159179688,-164.373779296875,2116.01708984375,783.7744140625,-188.958587646484,2281.12060546875,623.377380371094,206.713104248047,2249.31616210938,939.451721191406,187.052703857422,2270.97119140625,586.983215332031,577.89208984375,2361.52294921875,1167.73425292969,501.555572509766,2208.74731445313,402.837280273438,625.370300292969,2347.21215820313,1073.49255371094,635.473571777344,2271.7587890625,722.101196289063,-719.445678710938,2158.34204101563,711.211608886719,-499.052978515625,2170.689453125,737.691162109375,-356.801361083984,2182.66357421875,712.567504882813,-801.843322753906,2152.470703125,724.525085449219,-681.220031738281,2126.365234375,718.214477539063,-684.739196777344,2194.48901367188,747.19775390625,-624.033020019531,1994.48620605469,708.029052734375,-640.955017089844,2320.58984375,781.471130371094,-345.105651855469,1981.86633300781,683.035522460938,-382.163726806641,2441.251953125,719.02099609375,-117.92236328125,1966.59826660156,542.353637695313,-191.876266479492,2475.3828125
0.462,668.09375,-208.163955688477,2219.6787109375,636.798583984375,-193.394882202148,2134.9384765625,696.31396484375,-221.481887817383,2296.09252929688,574.714904785156,189.198959350586,2241.12133789063,826.021667480469,156.562362670898,2333.75170898438,570.095031738281,561.725280761719,2334.47436523438,1051.16967773438,471.177978515625,2302.8134765625,400.579040527344,641.668212890625,2349.99096679688,988.497009277344,621.001647949219,2362.50659179688,639.163696289063,-743.742797851563,2166.84594726563,638.261413574219,-525.966186523438,2175.30737304688,652.085815429688,-384.798400878906,2194.80541992188,626.048217773438,-824.606567382813,2163.18896484375,641.362487792969,-706.737915039063,2134.4912109375,638.776794433594,-708.770629882813,2201.96728515625,643.608093261719,-651.660827636719,2001.99645996094,645.403076171875,-666.880737304688,2326.98754882813,682.784973144531,-377.267669677734,1990.63879394531,659.88134765625,-410.134246826172,2444.31787109375,633.428771972656,-149.863784790039,1982.77478027344,532.543334960938,-215.761352539063,2484.26513671875
0.495,661.272155761719,-208.143402099609,2219.64965820313,629.981567382813,-192.51611328125,2134.603515625,689.48828125,-222.235198974609,2296.33959960938,571.157836914063,191.869583129883,2243.201171875,810.631103515625,159.134689331055,2346.70629882813,569.992858886719,565.663146972656,2338.89819335938,1022.0185546875,486.539489746094,2334.41088867188,399.599548339844,645.95654296875,2353.54833984375,949.919250488281,630.278625488281,2400.41723632813,621.564025878906,-745.41162109375,2163.25048828125,627.020629882813,-526.777526855469,2173.70239257813,643.733642578125,-385.297424316406,2193.55029296875,606.032043457031,-826.194885253906,2158.826171875,624.926147460938,-708.028869628906,2131.08349609375,622.124450683594,-710.595458984375,2198.84594726563,628.533874511719,-651.225891113281,1998.62634277344,626.861450195313,-667.80078125,2324.29174804688,672.938598632813,-376.198089599609,1991.04052734375,632.1494140625,-408.6494140625,2440.26098632813,625.52685546875,-147.192932128906,1986.32202148438,505.640441894531,-212.36083984375,2479.931640625
0.528,527.493286132813,-235.014755249023,2171.80102539063,546.883239746094,-230.46125793457,2085.17578125,510.008575439453,-239.120834350586,2249.9150390625,581.402770996094,157.709732055664,2064.44995117188,511.292388916016,147.288955688477,2301.45166015625,762.337890625,448.985504150391,2211.15234375,562.304138183594,516.762634277344,2355.57690429688,714.78955078125,623.609130859375,2186.73193359375,433.152618408203,624.2275390625,2354.05981445313,532.705322265625,-758.884765625,2154.57470703125,539.88134765625,-547.398803710938,2158.15356445313,536.113525390625,-408.564910888672,2164.60791015625,517.120361328125,-836.907287597656,2151.33276367188,539.717590332031,-723.881958007813,2122.81591796875,530.103271484375,-724.071655273438,2187.708984375,550.404479980469,-665.181091308594,1996.88293457031,502.699371337891,-675.789855957031,2303.26342773438,571.745056152344,-397.025665283203,2011.18542480469,444.777954101563,-408.172576904297,2284.154296875,551.407470703125,-173.271835327148,2036.48046875,306.751617431641,-232.339599609375,2234.625
0.561,509.859985351563,-236.693832397461,2168.77880859375,531.096435546875,-232.769775390625,2082.14208984375,490.710144042969,-240.232315063477,2246.90307617188,543.217468261719,158.811080932617,2068.11572265625,496.867370605469,148.718124389648,2291.939453125,673.9892578125,477.686767578125,2215.0146484375,560.233459472656,518.740356445313,2340.92114257813,591.8505859375,637.375183105469,2177.51904296875,430.565826416016,626.783935546875,2341.21850585938,497.982574462891,-762.439514160156,2151.36083984375,515.913391113281,-550.653076171875,2156.04223632813,516.816772460938,-411.145141601563,2162.58251953125,478.654388427734,-839.899780273438,2146.3857421875,510.081695556641,-727.811218261719,2120.40625,493.819854736328,-727.25927734375,2184.26440429688,539.663024902344,-668.349304199219,1997.18078613281,460.82666015625,-675.858947753906,2297.63745117188,565.605651855469,-399.682739257813,2016.43774414063,447.263122558594,-401.268493652344,2276.69580078125,532.310363769531,-176.716445922852,2044.01354980469,357.326141357422,-196.355560302734,2223.599609375
0.594,421.841857910156,-234.470352172852,2171.8583984375,432.9189453125,-231.645782470703,2084.59765625,411.853149414063,-237.017395019531,2250.54516601563,425.149932861328,146.647323608398,2162.91357421875,384.805297851563,143.852798461914,2306.97631835938,451.226959228516,502.237548828125,2259.02587890625,512.342712402344,490.713592529297,2358.62768554688,326.740997314453,612.384582519531,2187.85791015625,409.8251953125,620.202392578125,2378.58081054688,419.225982666016,-752.175476074219,2158.29150390625,439.668579101563,-543.712036132813,2164.111328125,431.741027832031,-406.324096679688,2167.55224609375,398.883178710938,-828.247009277344,2154.373046875,428.061126708984,-717.659729003906,2127.16845703125,419.158203125,-718.003723144531,2191.50732421875,428.053649902344,-653.033264160156,2005.26599121094,406.070587158203,-674.056945800781,2309.86596679688,457.709747314453,-388.171081542969,2015.61853027344,390.476989746094,-419.151947021484,2402.79638671875,429.093902587891,-167.421325683594,2039.35693359375,333.54345703125,-206.291549682617,2456.0751953125
0.627,392.119842529297,-230.657531738281,2169.21411132813,405.901489257813,-231.145278930664,2079.54467773438,379.692352294922,-230.217712402344,2250.07275390625,353.886047363281,155.298187255859,2160.88452148438,314.982727050781,157.662399291992,2310.74145507813,329.859100341797,524.721313476563,2249.54711914063,458.484039306641,510.281860351563,2365.90966796875,186.360733032227,628.327392578125,2191.08447265625,360.205963134766,648.76318359375,2389.88598632813,395.477111816406,-764.719543457031,2168.65625,411.946655273438,-549.401000976563,2173.9951171875,401.273651123047,-407.914001464844,2171.5849609375,376.184539794922,-843.583129882813,2164.89404296875,403.733612060547,-729.042907714844,2136.4482421875,394.741577148438,-729.404418945313,2202.798828125,409.605834960938,-664.406494140625,2009.8857421875,379.098175048828,-688.596374511719,2326.1337890625,444.251098632813,-391.714263916016,2016.01770019531,329.353240966797,-432.894226074219,2429.2275390625,395.526031494141,-167.144058227539,2037.20544433594,257.759490966797,-220.364562988281,2494.93237304688
0.66,318.298034667969,-204.836196899414,2204.94458007813,298.466583251953,-204.098663330078,2114.23754882813,336.180969238281,-205.501235961914,2286.7392578125,171.417083740234,176.740692138672,2185.05517578125,423.529846191406,191.143051147461,2316.42578125,80.6979827880859,549.137634277344,2254.94360351563,554.328430175781,561.747192382813,2339.84643554688,-98.5300216674805,590.947326660156,2204.71240234375,406.220489501953,655.392028808594,2349.94409179688,309.200622558594,-752.007690429688,2187.33447265625,308.426422119141,-531.5888671875,2204.44604492188,311.413604736328,-386.380432128906,2204.9736328125,295.833892822266,-833.86865234375,2181.0390625,309.992736816406,-713.230590820313,2155.91772460938,310.289978027344,-717.927490234375,2224.28540039063,300.810363769531,-653.029724121094,2023.69543457031,313.848602294922,-689.490234375,2355.10302734375,350.460693359375,-376.131469726563,2016.52099609375,274.952606201172,-424.001617431641,2456.18139648438,321.294555664063,-142.06819152832,2028.67504882813,128.461029052734,-238.440628051758,2492.41088867188
0.693,257.939849853516,-215.250030517578,2168.08032226563,297.381500244141,-215.958374023438,2085.92407226563,222.373580932617,-214.611297607422,2242.1640625,346.148132324219,173.914749145508,2161.60571289063,86.4476547241211,161.248687744141,2238.177734375,465.461029052734,512.210266113281,2294.09545898438,-18.4729404449463,533.092346191406,2245.23168945313,365.644561767578,657.187194824219,2357.96240234375,-186.279403686523,566.39013671875,2224.96069335938,267.946075439453,-751.993408203125,2173.66015625,276.843566894531,-535.270141601563,2179.91479492188,265.35595703125,-393.338745117188,2173.17602539063,251.571655273438,-831.810546875,2168.44995117188,277.723449707031,-715.880920410156,2142.0322265625,263.179534912109,-716.581726074219,2207.69970703125,278.862091064453,-648.325927734375,2016.13598632813,226.254974365234,-682.775756835938,2329.2373046875,321.922546386719,-375.500213623047,2016.50573730469,242.734619140625,-438.432678222656,2467.89868164063,271.684600830078,-149.315643310547,2008.94885253906,131.413513183594,-232.58283996582,2449.37719726563
0.726,186.43342590332,-183.18034362793,2165.6328125,224.835632324219,-183.749420166016,2083.94799804688,151.804458618164,-182.667175292969,2239.29150390625,315.498596191406,194.289642333984,2160.90063476563,42.8954429626465,197.801422119141,2249.27294921875,484.7353515625,490.739227294922,2324.98022460938,52.249153137207,578.682861328125,2285.62280273438,402.428100585938,653.868347167969,2356.70922851563,-88.8807754516602,674.57470703125,2285.4404296875,181.78059387207,-715.409240722656,2166.81372070313,192.654724121094,-500.803039550781,2170.7705078125,186.832733154297,-359.782470703125,2167.05078125,164.678924560547,-794.357421875,2163.11376953125,190.217178344727,-679.978637695313,2134.75415039063,179.001602172852,-680.029418945313,2200.42211914063,183.727081298828,-613.989074707031,2009.73840332031,150.93701171875,-644.356811523438,2322.43896484375,209.128799438477,-341.616455078125,2011.14318847656,128.847900390625,-382.941131591797,2416.60009765625,209.579620361328,-112.04061126709,2014.4248046875,32.008373260498,-172.430404663086,2435.7431640625
0.759,127.44026184082,-193.197738647461,2194.2138671875,132.483627319336,-188.748886108398,2105.32421875,122.892433166504,-197.20947265625,2274.36938476563,23.6714553833008,176.139007568359,2195.87622070313,8.5490198135376,173.463439941406,2323.16040039063,-42.0543327331543,533.129699707031,2286.13549804688,73.2060317993164,543.830139160156,2362.09619140625,-203.399353027344,617.043701171875,2264.44116210938,-48.9235000610352,656.1455078125,2391.50390625,138.773681640625,-717.161804199219,2163.93627929688,150.680938720703,-505.845062255859,2179.884765625,142.051849365234,-366.824340820313,2186.35302734375,121.318580627441,-794.773681640625,2156.90234375,144.688583374023,-680.29541015625,2133.90063476563,138.844299316406,-684.316467285156,2199.3095703125,142.107086181641,-608.519409179688,2014.01110839844,124.653381347656,-642.860046386719,2320.18310546875,159.546569824219,-338.926147460938,2016.09777832031,88.0493850708008,-385.341339111328,2410.30053710938,174.691757202148,-112.686157226563,2017.65539550781,14.0623893737793,-171.872329711914,2451.32739257813
0.792,5.76897716522217,-182.984024047852,2197.47387695313,27.8122825622559,-171.780990600586,2111.48876953125,-14.1084394454956,-193.086303710938,2275.01000976563,-93.9498138427734,194.611083984375,2183.85302734375,-87.0108337402344,179.208908081055,2375.28637695313,-155.693008422852,553.838073730469,2273.732421875,19.6182956695557,529.658569335938,2473.93017578125,-306.584655761719,656.250305175781,2250.6298828125,-81.9347763061523,661.483703613281,2504.13671875,37.0474243164063,-705.067260742188,2127.14868164063,29.2495346069336,-495.190673828125,2162.81591796875,19.5063419342041,-356.453674316406,2178.39404296875,28.0907669067383,-782.4365234375,2108.22021484375,51.0096817016602,-665.207946777344,2104.140625,22.4105644226074,-675.634460449219,2162.73852539063,85.2425765991211,-587.229675292969,1992.68359375,-36.2938423156738,-651.396057128906,2275.06787109375,68.8524551391602,-320.500335693359,2038.62780761719,-173.004364013672,-418.594787597656,2333.77172851563,55.1168937683105,-96.6312713623047,2077.19189453125,-316.179748535156,-238.23860168457,2324.53955078125
0.825,-13.3982887268066,-182.109222412109,2193.60546875,-23.1653079986572,-176.972183227539,2102.51049804688,-4.59093856811523,-186.741516113281,2275.75,-135.489974975586,200.995620727539,2185.1787109375,69.5228042602539,197.895660400391,2368.06860351563,-175.775024414063,574.001953125,2271.71801757813,370.495910644531,444.438354492188,2371.66455078125,-344.099273681641,658.912963867188,2271.16430664063,359.342346191406,617.213989257813,2382.21728515625,0.550844728946686,-721.946960449219,2159.93481445313,-13.9827060699463,-504.502166748047,2175.48754882813,-8.55715847015381,-361.268157958984,2182.98315429688,-7.19483184814453,-803.315734863281,2151.16479492188,6.57728910446167,-683.412963867188,2129.7373046875,-8.19699001312256,-688.510192871094,2195.63305664063,10.2993545532227,-613.283569335938,2004.18334960938,-36.3852958679199,-649.699768066406,2318.98046875,2.78387546539307,-336.321136474609,2028.13244628906,-153.230377197266,-401.538970947266,2390.08374023438,-15.8335990905762,-104.594604492188,2049.01953125,-327.331359863281,-243.329086303711,2367.13623046875
0.858,-68.1520614624023,-204.501739501953,2201.2001953125,-96.7484664916992,-192.700393676758,2116.61987304688,-42.3654327392578,-215.143524169922,2277.47021484375,-162.0888671875,190.040954589844,2191.38427734375,-34.034740447998,160.282363891602,2399.94311523438,-185.450714111328,560.636474609375,2261.490234375,209.782730102539,453.028564453125,2373.97045898438,-332.186706542969,668.463317871094,2294.35205078125,220.952621459961,619.035278320313,2410.01586914063,-96.8874664306641,-732.182739257813,2147.25146484375,-89.9808654785156,-518.575256347656,2164.75854492188,-75.6921005249023,-379.193664550781,2179.37524414063,-112.660377502441,-811.108642578125,2141.6357421875,-96.8580856323242,-694.427307128906,2116.94873046875,-92.5733108520508,-699.395202636719,2183.09301757813,-118.065208435059,-631.187072753906,1992.50317382813,-78.2350463867188,-668.459289550781,2308.43090820313,-129.470367431641,-359.094299316406,2010.76647949219,-161.631103515625,-420.256866455078,2402.1552734375,-153.617736816406,-132.203460693359,2031.18273925781,-316.083435058594,-249.128540039063,2428.15551757813
